['EditThisCookie'],['editthiscookie.com'],['http://editthiscookie.com'],https://lh3.googleusercontent.com/SoPJ3Fi7DxPpviGo0mjnZo85merX-fyGaHUaY8LwLQ7bIhqeSFm6K9Dh7fWdGAOOBWDPEVY4I8A=w26-h26-e365,['4.4268553123331555'],"['2,000,000+ users']",['11238'],"November 30, 2018",1.34MiB,['See all 35'],[],"['The first and best cookie manager for Google Chrome.\n★ Edit cookies\n★ Delete cookies\n★ Add a new cookie\n★ Create cookies\n★ Search cookies\n★ Protect cookies (read-only cookies)\n★ Block cookies (cookie filter)\n★ Export cookies in JSON, Netscape cookie file (perfect for wget and curl), Perl::LPW\n★ Import cookies in JSON\n★ Limit the maximum expiration date of any cookie\n★ Improve the performance, remove old cookies\n★ Import cookies.txt']"
EditThisCookie,editthiscookie.com,http://editthiscookie.com,https://lh3.googleusercontent.com/SoPJ3Fi7DxPpviGo0mjnZo85merX-fyGaHUaY8LwLQ7bIhqeSFm6K9Dh7fWdGAOOBWDPEVY4I8A=w26-h26-e365,4.4268553123331555,"2,000,000+ ",11238,30 November 2018,1.34MiB, 35,[],"['The first and best cookie manager for Google Chrome.\n★ Edit cookies\n★ Delete cookies\n★ Add a new cookie\n★ Create cookies\n★ Search cookies\n★ Protect cookies (read-only cookies)\n★ Block cookies (cookie filter)\n★ Export cookies in JSON, Netscape cookie file (perfect for wget and curl), Perl::LPW\n★ Import cookies in JSON\n★ Limit the maximum expiration date of any cookie\n★ Improve the performance, remove old cookies\n★ Import cookies.txt']"
EditThisCookie,editthiscookie.com,http://editthiscookie.com,https://lh3.googleusercontent.com/SoPJ3Fi7DxPpviGo0mjnZo85merX-fyGaHUaY8LwLQ7bIhqeSFm6K9Dh7fWdGAOOBWDPEVY4I8A=w26-h26-e365,4.4268553123331555,"2,000,000+ ",11238,"November 30, 2018",1.34MiB, 35,[],"['The first and best cookie manager for Google Chrome.\n★ Edit cookies\n★ Delete cookies\n★ Add a new cookie\n★ Create cookies\n★ Search cookies\n★ Protect cookies (read-only cookies)\n★ Block cookies (cookie filter)\n★ Export cookies in JSON, Netscape cookie file (perfect for wget and curl), Perl::LPW\n★ Import cookies in JSON\n★ Limit the maximum expiration date of any cookie\n★ Improve the performance, remove old cookies\n★ Import cookies.txt']"
